date,open,high,low,close,volume,day,time
2019-09-13 15:29:00,128.95,129.0,128.8,128.9,30805.0,13,05:59:00
2019-09-13 15:28:00,128.9548,129.1209,128.9207,128.9548,33353.0,13,05:58:00
2019-09-13 15:27:00,129.0,129.0,128.85,128.85,41541.0,13,05:57:00
2019-09-13 15:26:00,128.9,129.0,128.85,128.95,32211.0,13,05:56:00
2019-09-13 15:25:00,128.8,128.95,128.75,128.9,41668.0,13,05:55:00
2019-09-13 15:24:00,128.8,128.95,128.75,128.9,44818.0,13,05:54:00
2019-09-13 15:23:00,128.8,128.95,128.7,128.75,78954.0,13,05:53:00
2019-09-13 15:22:00,128.7554,128.974,128.6737,128.8554,88368.0,13,05:52:00
2019-09-13 15:21:00,128.8,128.95,128.75,128.9,36316.0,13,05:51:00
2019-09-13 15:20:00,128.85,128.85,128.65,128.75,60741.0,13,05:50:00
2019-09-13 15:19:00,129.0,129.0,128.75,128.8,45160.0,13,05:49:00
2019-09-13 15:18:00,128.85,129.0,128.85,128.95,38285.0,13,05:48:00
2019-09-13 15:17:00,128.9,128.95,128.8,128.9,32599.0,13,05:47:00
2019-09-13 15:16:00,128.75,128.9,128.65,128.9,50124.0,13,05:46:00
2019-09-13 15:15:00,128.6,128.8,128.55,128.75,36055.0,13,05:45:00
2019-09-13 15:14:00,128.6552,128.7732,128.6231,128.6552,28376.0,13,05:44:00
2019-09-13 15:13:00,128.5,128.65,128.45,128.65,48058.0,13,05:43:00
2019-09-13 15:12:00,128.7,128.7,128.45,128.55,75970.0,13,05:42:00
2019-09-13 15:11:00,128.9,129.0,128.65,128.7,71051.0,13,05:41:00
2019-09-13 15:10:00,129.0,129.0,128.8,128.85,45299.0,13,05:40:00
2019-09-13 15:09:00,129.0025,129.1015,128.9014,129.0025,49713.0,13,05:39:00
2019-09-13 15:08:00,129.1,129.15,128.95,129.0,42640.0,13,05:38:00
2019-09-13 15:07:00,129.1,129.26,129.06,129.1,45390.0,13,05:37:00
2019-09-13 15:06:00,128.9,129.15,128.85,129.1,39033.0,13,05:36:00
2019-09-13 15:05:00,129.2,129.3,128.85,128.85,56836.0,13,05:35:00
2019-09-13 15:04:00,128.9,129.25,128.8,129.2,152287.0,13,05:34:00
2019-09-13 15:03:00,128.9,128.9,128.8,128.9,30188.0,13,05:33:00
2019-09-13 15:02:00,128.8,128.95,128.75,128.9,36088.0,13,05:32:00
2019-09-13 15:01:00,128.95,129.0,128.8,128.8,38560.0,13,05:31:00
2019-09-13 15:00:00,128.7,128.95,128.7,128.9,52877.0,13,05:30:00
2019-09-13 14:59:00,128.85,128.85,128.7,128.8,28869.0,13,05:29:00
2019-09-13 14:58:00,128.85,128.95,128.75,128.85,38971.0,13,05:28:00
2019-09-13 14:57:00,128.75,129.0,128.75,128.85,115077.0,13,05:27:00
2019-09-13 14:56:00,128.65,128.85,128.65,128.8,33807.0,13,05:26:00
2019-09-13 14:55:00,128.7,128.7,128.6,128.65,46455.0,13,05:25:00
2019-09-13 14:54:00,128.75,128.8,128.6,128.65,40799.0,13,05:24:00
2019-09-13 14:53:00,128.65,128.9,128.65,128.8,113024.0,13,05:23:00
2019-09-13 14:52:00,128.5,128.7,128.45,128.7,76965.0,13,05:22:00
2019-09-13 14:51:00,128.3,128.55,128.3,128.55,101920.0,13,05:21:00
2019-09-13 14:50:00,128.1525,128.401,128.1508,128.3025,34661.0,13,05:20:00
2019-09-13 14:49:00,128.1,128.2,128.0,128.15,42948.0,13,05:19:00
2019-09-13 14:48:00,128.2,128.25,128.1,128.1,34178.0,13,05:18:00
2019-09-13 14:47:00,128.15,128.5,128.15,128.3,92066.0,13,05:17:00
2019-09-13 14:46:00,128.15,128.2,128.1,128.1,52681.0,13,05:16:00
2019-09-13 14:45:00,128.05,128.2,128.0,128.2,32610.0,13,05:15:00
2019-09-13 14:44:00,128.2,128.2,128.05,128.05,56088.0,13,05:14:00
2019-09-13 14:43:00,128.0046,128.3691,127.9688,128.2046,103385.0,13,05:13:00
2019-09-13 14:42:00,127.5,127.9,127.5,127.9,72598.0,13,05:12:00
2019-09-13 14:41:00,127.6,127.6,127.4,127.45,589020.0,13,05:11:00
2019-09-13 14:40:00,127.5,127.75,127.45,127.55,43073.0,13,05:10:00
2019-09-13 14:39:00,127.354,127.6251,127.3248,127.5041,48084.0,13,05:09:00
2019-09-13 14:38:00,127.4,127.45,127.3,127.35,19454.0,13,05:08:00
2019-09-13 14:37:00,127.2,127.45,127.2,127.4,27764.0,13,05:07:00
2019-09-13 14:36:00,127.35,127.35,127.2,127.2,16574.0,13,05:06:00
2019-09-13 14:35:00,127.15,127.35,127.15,127.3,24453.0,13,05:05:00
2019-09-13 14:34:00,127.3,127.3,127.05,127.15,35885.0,13,05:04:00
2019-09-13 14:33:00,127.2547,127.4693,127.2191,127.2547,22184.0,13,05:03:00
2019-09-13 14:32:00,127.4,127.45,127.1,127.15,102653.0,13,05:02:00
2019-09-13 14:31:00,127.5034,127.6736,127.3733,127.4034,27366.0,13,05:01:00
2019-09-13 14:30:00,127.7,127.71,127.46,127.5,42574.0,13,05:00:00
2019-09-13 14:29:00,127.2,127.7,127.1,127.7,120363.0,13,04:59:00
2019-09-13 14:28:00,127.2025,127.3001,127.15,127.2025,24779.0,13,04:58:00
2019-09-13 14:27:00,127.2,127.3,127.05,127.1,44159.0,13,04:57:00
2019-09-13 14:26:00,127.2,127.25,127.1,127.2,28425.0,13,04:56:00
2019-09-13 14:25:00,127.2,127.3,127.15,127.2,27558.0,13,04:55:00
2019-09-13 14:24:00,127.55,127.65,127.2,127.2,68228.0,13,04:54:00
2019-09-13 14:23:00,127.7053,127.8729,127.5726,127.6553,51925.0,13,04:53:00
2019-09-13 14:22:00,127.6,127.9,127.5,127.85,67133.0,13,04:52:00
2019-09-13 14:21:00,127.7021,127.8106,127.4603,127.6021,39220.0,13,04:51:00
2019-09-13 14:20:00,127.7,127.9,127.55,127.65,85313.0,13,04:50:00
2019-09-13 14:19:00,127.7025,128.2008,127.7004,127.7025,194400.0,13,04:49:00
2019-09-13 14:18:00,127.4,127.9,127.35,127.5,229533.0,13,04:48:00
